Instrument,ISIN,Mnemonic
CARDIOME PH.,CA14159U3010,CKO1
CARGOJET INC.,CA14179V1076,CJ8
CARIBOO ROSE RESOURCES,CA1420241087,6CR
CARL DATA SOLUTIONS INC.,CA1421731037,7C5
CARMANAH TECHNOLOGIES,CA1431262098,QCX1
CARMAX MINING CORP.,CA1431311002,4CX1
CARTIER IRON CORP.,CA1467611010,2CI
CARTIER RES INC.,CA1467721082,6CA
CASCADES INC.,CA1469001053,CS6
CASTLE RESOURCES INC.,CA1484777067,1CA2
CASTLE SILVER RES,CA14852E1097,4T9B
CATHEDRAL ENERGY SRVCS,CA14916J1021,T80
CAVA RESOURCES INC.,CA14949T2002,S9GD
CAZA GOLD CORP.,CA1497983082,CZ61
CEAPRO INC.,CA1499071076,385
CELESTICA INC. SV,CA15101Q1081,CTW
CEMATRIX CORP. O.N.,CA15120R1038,CMP
CENOVUS ENERGY INC.,CA15135U1093,CXD
CENTENERA MNG,CA15137M1059,16R1
CENTERRA GOLD INC.,CA1520061021,GOU
CENTRIC HEALTH CORP.,CA15641A1003,29C
CENTURION MINERAL LTD,CA15643T2065,XJCA
CEQUENCE ENERGY LTD,CA15671G2099,3STA
CERRO GRANDE MINING CORP.,CA1568671038,TXDC
CERTIVE SOLUTIONS INC.,CA15707X1015,5CE
CERVUS EQUIPMENT CORP.,CA15712L1004,VCE
CHESAPEAKE GOLD CORP.,CA1651841027,CKG
CHILEAN METALS,CA1688831066,IVV1
CN GOLD INTL RES CORP.LTD,CA16890P1036,JI3
CHIMATA GOLD CORP.,CA16934T1030,8CH
CHINA EDUCATION RES INC.,CA16938U1066,2CE
CHINA MINERALS MINING,CA16951L1085,3HG
CHINOOK ENERGY,CA1695881005,CEE
CHITRCHATR COMNCTS INC.,CA1701771091,CA9
CHROMEDX CORP.,CA17111W1095,EIY2
CICADA VENTURES LTD,CA1716401056,37L
CINEPLEX INC.,CA1724541000,CX0
CIPHER PHARMACEUTICALS,CA17253X1050,PHE
"CIVEO CORP. (CDA)  DL-,01",CA17878Y1088,44C
CLAREN ENERGY CORP.,CA1802661084,GLTP
CLAROCITY CORP. NEW,CA1826881015,4ZA
CLIFFMONT RESOURCES LTD,CA18681B1031,CVE1
COBALT POWER GRP,CA19075V1013,9GC
COBALTECH MNG INC.,CA19076D1006,9BN1
COGECO COMMUNI.SUB.VTG,CA19239C1068,COG
COLIBRI RESOURCE CORP.,CA1941683080,2CO1
COLOMBIA CREST GOLD CORP.,CA1952941039,EAT1
COLONIAL COAL INTL CORP.,CA1956151098,COX
COLORADO RESOURCES LTD,CA19654L1022,16C
COLT RESOURCES INC.,CA1968741019,P01
COLUMBUS GOLD CORP.,CA1991711096,3CG
COMMANDER RES,CA2005021027,GW5
COMMERCE RESOURCES CORP.,CA2006971006,D7H
COMPUTER MODELLING GROUP,CA2052491057,5TJ
COMSTOCK METALS,CA2057192064,C751
CONCORDIA INTERNATIONAL,CA20653P1027,80CB
CONDOR RESOURCES INC.,CA20676U1049,KD4
CONDOR PETROLEUM INC.,CA20676X3067,1CN1
CONFEDERATION MINERALS,CA20716C4039,0701
CONQUEST RESOURCES LTD.,CA2082871021,DFJ
CONSTANTINE METAL RES.LTD,CA2103171039,3CQ
CONSTELLATION SOFTWARE,CA21037X1006,W9C
CONTAGIOUS GAMING INC.,CA2107371023,RHRC
CONTINENTAL GOLD INC.,CA21146A1084,7C0
CONTINENTAL PREC.MIN.,CA2119063006,C4A1
CONVALO HEALTH INTL,CA2124401019,VML1
COPPER CREEK GOLD,CA21665V2021,DJ5A
COPPER FOX METALS INC.,CA21749Q1046,HPU
COPPER MOUNTAIN MINING,CA21750U1012,COQ
COPPER LAKE RES LTD,CA21750Y1034,W0I
COPPER NORTH MINING CORP.,CA21751R2063,79M1
COPPERBANK RES,CA2176211019,9CP
CORAL GOLD RES LTD NEW,CA2180022022,GV8A
CORDOBA MINERALS CORP.,CA21852Q4043,7C6
CORDY OILFIELD SERVICES,CA21868A1049,QCQ
COREX GOLD CORP.,CA21870J1012,G4D
CORNERSTONE CAP. RES NEW,CA21922J2083,GWN
CORO MINING CORP.,CA2196361075,E2E
CORONET METALS INC. NEW,CA21983F3016,2CM2
CORRIDOR RESOURCES INC.,CA2199191073,C6V
CORSA COAL CORP.,CA22041E6091,4RC1
CORUS ENTERTAIN.B NVTG,CA2208741017,9CO
CORVUS GOLD INC.,CA2210131058,1GL
COTT CORP.,CA22163N1069,GC6
CRAZY HORSE RES,CA2252312087,H8R1
CRESCENT POINT ENERGY,CA22576C1014,016
CRESVAL CAPITAL,CA2264111063,CFV
CREW ENERGY INC.,CA2265331074,C5X
CRITICAL CONTROL EN. SVCS,CA2267521037,CS8
CRITICAL OUTCOME TECHS,CA22675B1031,A8V
CRITICAL ELEMENTS,CA22675W1077,F12
CROWN MINING CORP.,CA2284191079,C73
CROWN POINT ENERGY,CA2284621075,144
CRUZ CAPITAL,CA22888P1053,BRO2
CRYSTAL EXPLORATION INC.,CA2292151081,87C
CUB ENERGY INC.,CA22944T1093,P36
CURRIE ROSE RES NEW,CA2319004081,CDVN
CYMBRIA CORP. CLASS A,CA23257X1096,CYOA
CYPRESS DEVELOPMENT CORP.,CA2327492005,C1Z1
CYPRIUM MNG,CA23281G1063,C04
DXI ENERGY INC.,CA23286A1049,D5R1
DGS MINERALS INC.,CA23290K2056,C0D2
DH CORP.,CA23290R1010,1DH
D-BOX TECHNOLOGIES INC.,CA23305P1080,DB2
DAJIN RESOURCES,CA2340672054,C2U1
DALRADIAN RES INC.,CA2354991002,DLR
DAMARA GOLD CORP.,CA23568R1064,8OLN
DARNLEY BAY RES,CA2369014014,8DB1
DATA DEPOSIT BOX INC.,CA2376321048,2DD
DATAWIND INC.,CA23815L1004,0DW
DAVIDSTEA INC.,CA2386611024,DAT
DEALNET CAPITAL,CA2423151091,5DC
DECADE RESOURCES,CA2427792056,8DC1
DECLAN RESOURCES INC.,CA2435641014,DCR
DEEP-SOUTH RES.INC.  O.N.,CA24378W1032,JGCR
DEER HORN CAPITAL,CA2438091001,G1J1
DEEPMARKIT CORP.,CA24380K1057,DEP
DEFIANCE SILVER CORP.,CA2447672080,D4E
DELIVRA CORP.     O.N.,CA24701U1057,9DV
DELPHI ENERGY CORP.,CA2471281014,MQY
DENISON MINES CORP.,CA2483561072,IUQ
DESCARTES SYS GRP INC.,CA2499061083,DC2
DESERT GOLD VENTURES,CA25039N4084,QXR2
DETOUR GOLD CORP.,CA2506691088,D8M
DIAGNOS INC.,CA2524422078,4D4
DIAMEDICA THERAPEUT.,CA25253X1087,F2K
DIAMOND FIELDS INTL,CA2529054017,D2DA
DIFFERENCE CAP. FINL,CA25374Q4043,SGCC
DIOS EXPLORATION INC.,CA25455U1003,BFM
DISTINCT INFRASTR. GRP,CA25475N2014,5DI
DIRTT ENVIRONM.SOLUTIONS,CA25490H1064,D13
DOLLARAMA INC.,CA25675T1075,DR3
DOMINION DIAMOND CORP.,CA2572871028,AB7
DOREL INDS INC. B,CA25822C2058,DO4B
DOREX MINERALS INC.,CA2582301016,A9L
DOUBLEVIEW CAPITAL CORP.,CA25862T1003,1D4
DRAGONWAVE INC. NEW,CA26144M4002,DWFN
DREAM GL.REAL EST.I.TR.U.,CA26154A1066,DRG
DRONE DELIV.CANADA CORP.,CA26210W1005,ABB
DUNDEE ENERGY LTD,CA26518Q1028,3EW
DUNDEE PRECIOUS MET.(NEW),CA2652692096,DPU
DUNDEE SUSTAINABLE TECHN.,CA2652821034,C3X1
DUNNEDIN VENTURES INC.,CA2658241021,5DD
DURAN VENTURES INC.,CA26636P2008,6D71
DURANGO RESOURCES INC.,CA2664951001,86A1
DUSOLO FERTILIZERS,CA2670001072,E6R
DYNACOR GOLD MINES INC.,CA26779X1015,DGF
DYNACERT INC.,CA26780A1084,DMJ
DYNASTY GOLD,CA2681321071,D5G
DYNASTY METALS + MNG INC.,CA26813S1002,D3S
EA EDUCATION GROUP INC.,CA26824W1086,CBQ1
E-ENERGY V.,CA26842Y1025,D8F
EQ INC.,CA26884V1076,CXJ1
E-PLAY DIGITAL,CA26885W1041,2NY2
EXO U INC.,CA2692811011,9EX
EAGLE ENERGY INC.,CA26950W1041,27G
EAGLE GRAPHITE,CA2695481036,NJGP
EAGLE PLAINS RES LTD.,CA2699062022,33E
EARTH ALIVE CLEAN TECHN.,CA27031Q1081,E11
EAST AFRICA METALS,CA2704101039,EA1
EAST ASIA MINLS CORP.,CA2705411056,WG3
EAST WEST PETROLEUM CORP.,CA27580T1075,37A
EASTCOAL INC.,CA2761656024,LYJ3
EASTERN PLATINUM LTD,CA2768555096,E9P1
EASTFIELD RESOURCES LTD,CA27724D1096,35E
EASTMAIN RES INC.,CA27743M1068,EM5
EASY TECHS INC.,CA27786D1042,EY62
ECO ORO MINERALS CORP.,CA27887T1075,GQQ
ECOBALT SOLUTIONS,CA27888J1084,ECO
EDGEWATER EXPLORATION NEW,CA2802905034,9EWN
EDGEWATER WIRELESS SYS,CA2803591007,E14
EESTOR CORP.,CA28201L1013,ZM7
EGUANA TECHS INC.,CA2823651054,S2K1
EIGHT SOLUTIONS,CA28251Y1025,G82
EL NINO VENTURES,CA28335E3041,E7QP
ELCORA ADVANCED MAT.CORP.,CA2844451039,ELM
ELECTRA STONE LTD,CA2847641073,44E1
ELDORADO GOLD CORP.,CA2849021035,ELO
ELECTROVAYA,CA28617B1013,4EV
ELEMENT FLEET MGMT CORP.,CA2861812014,61F
ELORO RES LTD,CA2899003008,P2QM
ELY GOLD + MINERALS INC.,CA2905191078,I4U
ELYSEE DEVELOPMENT,CA2907371058,QLDN
EMBLEM CORP.         O.N.,CA29082J1084,E0M
EMERA INC.,CA2908761018,C61
EMGOLD MNG CORP.,CA2909283087,EMLN
EMERITA RESOUR.CORP. O.N.,CA29102L1094,LLJ
EMERALD HEALTH THER.,CA29102R1064,TBD
EMPIRE INDS LTD (NEW),CA2917471039,73E
EMPIRE CO. LTD A,CA2918434077,C15
EMPIRE ROCK MINERALS,CA29206R1010,JPDB
ENABLENCE TECHNOLOGIES,CA2924832033,MEU2
ENCANA CORP.,CA2925051047,PCD1
ENBRIDGE INC.,CA29250N1050,EN3
ENCANTO POTASH CORP.,CA29251N1042,EOC
ENDEAVOUR SILVER CORP.,CA29258Y1034,EJD
ENCORE ENERGY CORP.,CA29259W1068,6TUW
ENERGULF RESOURCES INC.,CA29266X1050,EKS
ENERGY FUELS INC.,CA2926717083,VO51
ENERGOLD DRILLING,CA29268A1030,X9X
ENERCARE INC.,CA29269C2076,61E
ENERFLEX LTD,CA29269R1055,7EX
ENFIELD EXPLORATION CORP.,CA2927551051,EE0
ENERPLUS CORP.,CA2927661025,E17
ENGAGEMENT LABS,CA29282R1082,28E
ENGOLD MINES LTD.,CA29330R1001,L9W
ENPAR TECHNOLOGIES INC.,CA2935531038,3EN
ENSIGN ENERGY SERVICES,CA2935701078,ENB
ENTERPRISE GROUP INC.,CA29373A3038,3EO1
ENTREE GOLD INC.,CA29383G1000,EKA
ENWAVE CORPORATION,CA29410K1084,E4U
EPSILON ENERGY LTD.,CA2943751008,41E
EQUITAS RES CORP.,CA29458R3045,T6UP
EQUITORIAL EXPLORATION,CA2945981074,EE1
ERA RES INC.,CA29478T1084,IMMA
ERDENE RES.DEVELOPM. NEW,CA29480N2068,E8KA
ESKAY MINING CORP.,CA2964371066,KN7
ESPIAL GROUP INC.,CA2966511024,6ES
ESREY ENERGY,CA29668C1059,3IO1
ESSENTIAL ENERGY SVCS LTD,CA29669R1010,07E
ESSEX ANGEL CAP.INC. O.N.,CA29670A2048,ES3
ETHOS GOLD CORP.,CA29766C1068,1ET
ETRION CORP.,CA29786T1057,4QP
EURASIAN MINERALS INC.,CA29843R1001,6E9
EUREKA RES INC.,CA2986551018,EUS
EUROCONTR.TECHN.GR.INC.,CA29870A1030,2E6
EURO SUN MINING,CA29872L2066,OL11
EUROMAX RES LTD NEW,CA29873T3073,OMZA
EUROP.METALS CORP.,CA29880P1080,4MM
EVERTON RESOURCES,CA3004103055,ERV1
EVOLVING GOLD CORP.,CA30050D4049,EV71
EVITRADE HEALTH SYS,CA30050R1064,AUHN
EVRIM RESOURCES CORP.,CA30051B1004,5EV
EXACTEARTH LTD,CA30064C1032,0C5
EXCELLON RESOURCES,CA30069C2076,E4X1
EXCELSIOR MINING CORP.,CA3007632084,3XS
EXETER RESOURCE CORP.,CA3018351047,EXB
OREX EXPLORATION INC.,CA3019211026,O5D
AZIMUT EXPLORATION INC.,CA3019501012,UL9
EXFO INC. SV,CA3020461073,EEZ
EXGEN RES INC.,CA30204R1010,BG0
EXPLOR RESOURCES INC. A,CA30215D2086,E1H1
EYECARROT INNOVATIONS,CA30233R1064,2EY
FLYHT AEROSPACE SOLUTIONS,CA30252U1057,5F8
FAIRFAX FINL HLDGS SV,CA3039011026,FFX
FAIRMONT RESOURCES,CA3055542060,F0O1
FALCO RES LTD,CA30606C1086,8FP
FALCON OIL & GAS LTD,CA3060711015,FAC
FALCON OIL + GAS,CA3060711015,FAC
FANDOM SPORTS MEDIA,CA30710L1013,TQ42
FANCAMP EXPLORATION LTD,CA30710P1027,3F9
FANTASY ACES DAI.FAN.SP.,CA3072922014,5PR2
FANTASY 6 SPORTS INC,CA30729R1073,6F6
FAR RESOURCES LTD O.N.,CA30734R1001,F0R
FENNEC PHARMACEUT.,CA31447P1009,RV41
FIERA CAPITAL CORP.,CA31660A1030,ZFS
FIELDEX EXPL INC.,CA3169023031,F7E1
FINDEV INC.          O.N.,CA31773A1075,0T41
FINEQIA INTERN. INC. O.N.,CA31788W1023,FNQA
FINNING INTL INC.,CA3180714048,CIH
FIORE EXPLORATION,CA31809M1095,MB2
FIRESTONE VENTURES INC.,CA3183182011,F5V1
FIRESWIRL TECHNOLOGIES,CA31831N1096,FIR
FIRST BAUXITE CORP.,CA31932K1030,FBI
FIRST CAP.RE,CA31943B1004,FRQ
FIRST COBALT CORP.,CA3197021064,18P
FIRST ENERGY METALS,CA32016U1084,DFLA
FIRST GLOBAL DATA  O.N.,CA32037R1001,1G5
FIRST GROWTH HOLDINGS LTD,CA3204301012,FGH
FIRST MAJESTIC SILVER,CA32076V1031,FMV
FIRST MEXICAN GOLD CORP.,CA32086A1075,21M
FIRST MNG FINANCE,CA3208831014,FMG
FIRST QUANTUM MINLS,CA3359341052,IZ1
FIRST POINT MINERALS,CA3359371083,FP5
FISSION 3.0 CORP.,CA3381241007,2F3
FISSION URANIUM CORP.,CA33812R1091,2FU
FITCH STREET CAPITAL CORP,CA3381322021,FIT1
FJORDLAND EX,CA33833E1034,FE9
5N PLUS INC.,CA33833X1015,EMB
FOCUS GRAPHITE INC.,CA34416E1060,FKC
FOCUS VENTURES LTD,CA34416M1086,8FV
FORAN MNG CORP.,CA3449112018,48M
FORSYS METALS CORP.,CA34660G1046,F2T
FORTIS INC.,CA3495531079,12F
FORTRESS PAPER LTD,CA34958R1010,LII
FORTUNE MINERALS LTD.,CA34967D1015,FMP
49 NORTH RESOURCES INC,CA34978T1030,O49
FORUM URANIUM CORP.,CA3498523016,F3E1
FORTUNA SILVER MINES INC.,CA3499151080,F4S
FOUNDERS ADV.CAP.  O.N.,CA3505071090,B6M2
FOX RIVER RES,CA3515441010,6FX
FRANCO-NEVADA CORP.,CA3518581051,3FO
FREEGOLD VENTURES LTD,CA3564552048,FR4N
FREEHOLD ROYALTIES LTD,CA3565001086,1FH
FRONT RANGE RES LTD,CA35902L1085,C1JS
FRONTIER LITHIUM INC.,CA35910P1099,HL2
FRONTLINE GOLD CORP.,CA35922K1066,66F
FULL METAL MINERALS LTD A,CA35968C6045,33FQ
FUNDAMENTAL APPLICATIONS,CA36080U1003,2FA
FURA EMERALDS INC.,CA3610571026,BJ43
GDI INTEGR. FAC. SVCS,CA3615692058,GQN2
GGL RESOURCES CORP.,CA36171B2012,GG81
GLG LIFE TECH CORP.,CA3617932015,9LTN
GTA RESOURCES + MINING,CA36191A1003,RGT
GABRIEL RESOURCES LTD.,CA3619701061,GRZ
GPM METALS INC.,CA36198C2085,DGU2
GMV MINERALS INC.,CA3620M15016,G3MN
GALANE GOLD LTD,CA36316B1085,25G
GALILEO EXPLORATION,CA3635461021,P5HH
GALWAY GOLD,CA3645841022,3TZ1
GARIBALDI RESOURCES CORP.,CA3660441054,RQM
GATEKEEPER SYSTEMS INC.,CA36734X1042,1GK
GEAR ENERGY LTD,CA36830P1045,0GY
GEM INTL RES INC.,CA3686002013,C3Y2
GENENEWS LTD,CA36870T2065,61N
GENESIS METALS CORP.,CA37186Q1000,4TE2
GEODEX MINERALS,CA3719373019,G2W2
GEOLOGIX EXPLORATIONS INC,CA3719391094,GF6
GENIUS PROPERTIES,CA37229W1068,N8HN
GENWORTH MI CANADA INC.,CA37252B1022,2GE
GEOMEGA RESOURCES INC.,CA37252J1057,92G
GENSOURCE POTASH,CA37252X1042,UGN
GEOROX RESOURCES INC.,CA3736272079,OF6B
GESPEG COPPER RES INC.,CA3742561051,2GS
GIBSON ENERGY INC.,CA3748252069,8GB
GILDAN ACTIVEWEAR   SV,CA3759161035,VGA
GIYANI GOLD CORP.,CA37636L1076,KT9
GITENNES EXPL. INC.,CA37636Q1063,GFX
GLANCE TECHNOLOGIES O.N.,CA3767901018,GJT
GLOBAL REMOTE TECHNOLOG.,CA37890L1085,GR9
GLOBAL HEMP GROUP INC.,CA37953Y1043,GHG
GLOBEX MINING ENTPRS INC.,CA3799005093,G1MN
GMP CAPITAL INC.,CA3801341064,G04
GOBIMIN INC.,CA38020T1021,31T
GOGOLD RESOURCES INC.,CA38045Y1025,GGD
GOLD BULLION DEV.CORP.,CA3805391065,B6D
GOLD FINDER EXPLORATIONS,CA3805982012,S8W2
GOLD RESERVE INC. A,CA38068N1087,GOD
GOLD STANDART VENT.CORP.,CA3807381049,6AZ
GOLDEN ARROW RES,CA3808001026,GAC
GOLDEN DAWN MINERALS,CA3808956070,3G8A
GOLDEN HOPE MINES,CA3809262049,6GO1
GOLDCORP INC.,CA3809564097,GO5
GOLDEN GOLIATH RES.,CA3810591048,GGZ
GOLDEN LEAF HLDGS    O.N.,CA38109W1095,9GL
GOLDEN QUEEN MINING,CA38115J1003,5GQ
GOLDEN REIGN RES.,CA38116E1007,GQR
GOLDEN PREDATOR MNG,CA38116P1053,NT9P
GOLDEN SECRET VENT.,CA38117P1045,32G
GOLDEN STAR RES,CA38119T1049,GS5
GOLDEN VALLEY MINES LTD,CA3812381042,YGL
GOLDEX RESOURCES,CA3813663018,G6T2
GOLDGROUP MINING INC.,CA38141A1075,55G
GOLDREA RES CORP.,CA3814282008,GOJ1
GOLDQUEST MINING CORP.,CA38144C1005,M1W
GOLDON RES LTD,CA38147L2066,6NR2
GOLDMONEY INC.,CA38149A1093,9BT
GOLDMINING INC.,CA38149E1016,BSR
GOLDSOURCE MINES INC.,CA38153U1084,G5M
GOLDSTRIKE RESOURCES LTD,CA38154B1094,KCG1
GORDON CREEK EN.,CA3827351089,M2Y1
GOSSAN RES LTD,CA3834151068,GSR
GOVIEX URANIUM INC A,CA3837981057,7GU
GOWEST GOLD LTD,CA38383Q1090,1GW
GRAN COLOMBIA GOLD,CA38501D5010,6KLC
GRAND PEAK CAPITAL,CA38611W3084,6GP1
GRANITE OIL,CA38742A1003,7GN
GRAPHENE 3D LAB INC.,CA38866T1093,G31
GRAPHITE ONE RES INC.,CA38870W1068,2JC
GREAT ATLANTIC RES CORP.,CA3900872035,PH01
GREAT BEAR RES LTD,CA3901433035,0G6B
GREAT LAKES GRAPHITE INC.,CA39062T1093,8GL
GREAT PANTHER SILVER,CA39115V1013,G3U
GREAT QUEST FERTILIZ.,CA39119X1033,GQM
GREAT THUNDER GOLD,CA3913271035,M4KP
GREAT-WEST LIFECO INC.,CA39138C1068,GWS
GREENCASTLE RES LTD,CA3941631093,GC5
GRENVILLE GOLD CORP.,CA39771A2011,F9IQ
GRENVILLE STRAT. ROYALTY,CA39773A1003,6GV
GRIZZLY DISCOVERIES INC.,CA3986921037,G6H
GROUP TEN METALS,CA3994522009,5D32
CGI GROUP INC. A SV,CA39945C1095,CJ5A
GROWMAX RES CORP.,CA39986E1051,97A
GROUNDSTAR RESOURCES,CA3999002080,45G1
GUNGNIR RES INC.,CA40281L1094,AMO1
GUNPOWDER CAPITAL CORP.,CA4030721019,YS6N
GUYANA GOLDFIELDS,CA4035301080,GG3
HTC PURENERGY INC.,CA40432D1050,UII
HPQ-SILICON RES,CA40444R1001,UGE
HALIO ENERGY INC.,CA40588Y1016,TD62
HANDA COPPER CORP.,CA41024B2003,H78A
HANNAN METALS LTD,CA4105841064,C8MQ
HANWEI ENERGY SERVICES,CA4113551002,3HE
HARD CREEK NICKEL,CA4116372000,BRR1
HARTE GOLD CORP.,CA4161901067,H4O
HAWKEYE GOLD + DIAM.,CA42016R3027,HGT
HEALTHSPACE DATA SYS LTD,CA42226M1014,38H
HELIX BIOPHARMA CORP.,CA4229101098,HBP
HELLO PAL INTERN. INC.,CA4234071054,27H
HEMISPHERE ENERGY CORP.,CA4236301020,N4Q1
HIGH HAMPTON HLDGS,CA42966X2005,0HC1
HIGHBANK RES LTD,CA42982U1075,V7O
HIGHLAND COPPER CO.,CA43004Y1016,C3H1
HIGHWAY 50 GOLD CORP.,CA4312481035,HI5
HILLCREST PETROLEUM LTD.,CA4315311023,7HI
HINTERLAND METALS INC.,CA4334732043,HN2N
HOME CAP. GRP INC.,CA4369131079,7HC
HORIZON NORTH LOGISTICS,CA44044D1078,13N
HORIZON PETROLEUM,CA44053J1021,HPM
HORNBY BAY MINERAL EXPL.,CA4405532041,HP2J
H2O INNOVATION INC.,CA4433003064,H3O1
HUDBAY MINERALS INC.,CA4436281022,OCKA
HUDSON RES INC.,CA44415F1036,HR5
HUDSONS BAY CO.,CA4442181018,HBNC
HUNTER OIL CORP.,CA44570P2017,RWPN
HUSKY ENERGY INC.,CA4480551031,HKE
HYDRO ONE LTD,CA4488112083,8H1
HYDROGENICS CORP.,CA4488832078,HX5A
IBEX TECHS INC.,CA4489375085,IBT
IBC ADVANCED ALLOYS CORP.,CA44923T8683,JRB2
IBI GROUP INC.,CA44925L1031,5IB
IC POTASHCORP.,CA44930T1093,ECA1
IDM MINING LTD,CA44939Q1063,8JN1
IGM FINANCIAL INC.,CA4495861060,C7G
I-MINERALS INC.,CA44973V1022,6IM
IAMGOLD CORP.,CA4509131088,IAL
ICO THERAPEUTICS(NEW) NEW,CA45107J1057,0IT
ICONIC MINERALS LTD,CA45107N2059,YQGB
IKKUMA RES CORP.,CA45173X1033,PTXI
IMAX CORP.,CA45245E1097,IMA
IMEX SYSTEMS INC.,CA4524781008,AIG
IMAGINATION PARK ENTERT.,CA45249M1077,GMS1
IMETAL RES INC.,CA45250A1093,A7V1
IMAGIN MEDICAL INC.,CA45250L1058,DPD2
IMMUNOVACCINE INC.,CA45254B1031,5IV
IMPACT SILVER CORP.,CA45257A1021,IKL
IMPERIAL METALS CORP.,CA4528921022,L7D
IMP. OIL,CA4530384086,IMP
INCA ONE GOLD CORP.,CA45328X2068,SU91
INDIGO EXPLORATION INC.,CA45568X1069,INE
INDUSTRIAL ALL.INS.+FINL,CA4558711038,3I7
INMED PHARMACEUT.,CA4576371062,MWG2
INNOVATIVE PROPERTIES,CA4576773002,7IP
INNOVA GAMING GROUP INC.,CA4576901058,19I
INNERGEX RENEWABLE ENERGY,CA45790B1040,3IX
INTELLIPHARMACEUTICS INTL,CA4581731011,I4A
INTACT FINANCIAL CORP.,CA45823T1066,I5U
INTEGRA GOLD CORP.,CA45824L1022,K1IA
INTACT GOLD CORP.,CA45826Y1025,1A5
INTER PIPELINE LTD,CA45833V1094,2IP
INTERCEPT ENERGY SERVICES,CA45845R1047,POZG
INTERFOR CORP.,CA45868C1095,8IF1
INTERMAP TECHS CORP.,CA4589772041,I9T
INTERNATIONAL LITHIUM,CA4598201065,IAH
INTL MILLENNIUM MINING,CA4599701097,L9J
INTL MONTORO RESOURCES,CA46004W1086,O4T
INTL SAMUEL EXPLORAT.,CA46027W3093,RFC2
INTL TOWER HILL MINES(NEW,CA46050R1029,1I1
INTL WASTEWATER SYS INC.,CA4605591078,IWI
INTERNET OF THINGS,CA46063M1086,7IT
INTERRENT REIT TR.UTS,CA46071W2058,IBVA
INTERTAPE POLYMER GRP,CA4609191032,2NI
INTERTAINMENT MEDIA,CA46111P2026,I4T1
INTERTAIN GROUP LTD,CA46111Q1019,35I
INTIGOLD MINES LTD.,CA46116M1059,IOM
INVENTUS MNG CORP.,CA4612172003,3GIA
INV METALS INC. NEW,CA46123C2076,WL4N
INTRINSYC TECHS CORP.,CA46123E1043,IN6A
INVICTUS MD STRAT.,CA46183X2086,8IS1
INZINC MINING LTD,CA46187R1082,32L
IRVING RESOURCES INC,CA4637731015,1IR
ISIGN MEDIA SOLUTIONS INC,CA46432X1087,IMS
ITASCA CAITAL,CA4654481080,IMTA
ITHACA ENERGY INC.,CA4656761042,I6T
IVANHOE MINES A,CA46579R1047,IYAA
JG WEALTH MGMT,CA46618E1060,713
JDL GOLD CORP.,CA46620G1072,1LRA
JACKPOT DIGITAL,CA4663911093,LVH1
JADESTONE ENERGY,CA46989Q1000,M4E
JAGERCOR ENERGY CORP.,CA47008X1006,1JM1
JAGUAR MINING INC. NEW,CA47009M4002,32JN
JAMES BAY RESOURCES LTD,CA4702731031,8J8
JAXON MINERALS INC.,CA47189K1093,0U3
"JEAN COUTU GRP, THE A",CA47215Q1046,CJN
JERICHO OIL CORP.,CA4763671076,JLM
JET METAL CORP.,CA47713E1088,EZ7A
JOURNEY ENERGY INC.,CA48113W1023,17J
JUNEX INC.,CA4818631083,4QO
JURA ENERGY CORP. NEW,CA4820723035,54JN
JUST ENERGY GROUP,CA48213W1014,1JE
KP TISSUE INC.,CA48265Y1043,KP8
KWG RES INC.,CA48277D2059,KW6
KAIZEN DISCOVERY,CA48311A1003,3W31
KALYTERA THERAPEUT.  O.N.,CA48349P1036,S6V4
KANEH BOSM BIOTECH.,CA4841901032,8K5
KARNALYTE RESOURCES INC.,CA4856722083,K1N
KATANGA MINING LTD,CA4858471077,31Z
KEEK INC.,CA4872832023,3PP1
KELSO TECHNOLOGIES INC.,CA48826D2014,LB4A
KELT EXPLORATION LTD,CA4882951060,2KE
KENNADY DIAMONDS INC.,CA4891651008,KD9
KERMODE RESOURCES LTD,CA4919021028,KJ8
KERR MINES INC.,CA4924052042,7AZ1
KESSELRUN RESOURCES LTD,CA4925371052,CMG
KEYERA CORP.,CA4932711001,K2Y
KHAN RESOURCES INC.,CA49373T1021,KHR
KILO GOLDMINES,CA49427Y5039,02K1
KINAXIS INC.,CA49448Q1090,9KX
KINCORA COPPER LTD,CA49451A4054,BS4B
KING'S BAY GOLD CORP.A,CA49579Q2099,KGB1
KINROSS GOLD CORP.,CA4969024047,KIN2
KINGSW.FIN.SRVCS INC. NEW,CA4969042023,KFSN
KIRKLAND LAKE GOLD   O.N.,CA49741E1007,NGDA
KISKA METALS CORP.,CA4977251012,31GB
KIVALLIQ ENERGY CORP.,CA49834A1066,KEQ
KLONDEX MINES LTD.,CA4986961031,32K
KLONDIKE SILVER CORP.,CA4987222060,K1SN
KNEAT.COM INC.,CA4988241010,FOBK
KLONDIKE GOLD CORP.,CA4989033010,LBDP
KNIGHT THERAPEUTICS,CA4990531069,04K
K92 MINING INC,CA4991131083,92K
KOOTENAY SILVER INC.,CA5005831097,3FX
LED MEDICAL DIAGNOSTICS,CA50184T1093,LME
LABRADOR IR.ORE ROYL.CRP.,CA5054401073,L9O
LAGUNA BLENDS INC.   O.N.,CA5071952041,LB6A
LAMELEE IRON ORE,CA5134413031,G111
LARA EXPLORATION LTD.,CA5166831092,LEW
